Barcode_ID	DrugMaster_Code_Key	Universal_Code_Key	IsGTIN	IsGTINOverride	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code
46	ACCU12	4015630006298	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
47	ACCU12	4015630056941	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
48	ACCU13	4015630007240	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
49	ACCU14	4015630980116	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
50	ACCU14	4015630980468	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
51	ACCU15	4015630058525	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
52	ACCU15	4015630058976	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
53	ACCU2	4015630000357	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
54	ACCU3	4015630000364	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
55	ACCU6	9318955141824	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
56	ACCU8	9323610000880	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
57	ACCU9	9313212100804	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
58	ACE1	9316626101511	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
59	ACEN1	9323610000217	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
60	ACEN2	9323610000224	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
61	ACEN3	9323610000231	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
62	ACET4	9313109849502	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
63	ACET5	9369999023737	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
64	ACET7	9323610007056	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
65	ACET8	9323610007063	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
66	ACET9	9323610007049	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
67	ACH5	9315850010521	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
68	ACIC10	9322217295804	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
69	ACIC11	9316100295484	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
70	ACIC11	9338475000005	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
71	ACIC15	9339218000061	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
72	ACIC16	9339218000078	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
73	ACIC4	9316795005078	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
74	ACIC6	9313109120052	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
75	ACIC6	9316795005061	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
76	ACIC6	9324052001589	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
77	ACIC8	9316100296023	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
78	ACIH3	9322838000634	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
79	ACIH4	9322838000641	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
80	ACIH4	9322838001822	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
81	ACIH5	9322838000658	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
82	ACIH6	9322838000665	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
83	ACIH6	9322840000000	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
84	ACIJ1	9317039000675	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
85	ACIJ1	9317376706087	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
86	ACIM6	9323610002761	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
87	ACL2	9323610000903	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
88	ACL9	9323610000897	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
89	ACLO1	9327408000809	1	1	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
