GenNHS_ID	GenNHS_Code_Key	GenNHS_Name	OverrideGenNHS_Name	ChemistListPrice_Amt	MoleculeGroup_Name	GenNhsSubGroup_Name	GenNhsSubGroup_ID	EffectiveFromCalendarPeriod_Number	EffectiveToCalendarPeriod_Number	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code	OverrideGenNHS_Code_Description
825	CEF7	CEFTRIAXONE	NULL	2.8545		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
826	CEF8	CEFOTAXIME	NULL	3.21	CEFOTAXIME	CEFOTAXIME	300	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
827	CEF9	CEFOTAXIME	NULL	1.7409	CEFOTAXIME	CEFOTAXIME	300	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
828	CEFA1	CEFACLOR	NULL	5.3478	CEFACLOR	CEFACLOR	296	201303	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
829	CEFA2	CEFACLOR	NULL	64.55		CEFACLOR	296	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
830	CEFA3	CEFACLOR	NULL	9.68		CEFACLOR	296	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
831	CEFA34	CEPHAZOLIN	NULL	8.8909	CEPHAZOLIN	CEPHAZOLIN	312	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
832	CEFA4	CEFACLOR	NULL	64.54		CEFACLOR	296	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
833	CEFA5	CEFACLOR	NULL	17.42		CEFACLOR	296	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
834	CEFA6	CEFACLOR	NULL	58.08		CEFACLOR	296	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
835	CEFE1	CEFEPIME (AS HCL)	NULL	9.50		CEFEPIME (AS HCL)	299	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
836	CEFE2	CEFEPIME (AS HCL)	CEFEPIME	14.1091	CEFEPIME	CEFEPIME	298	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
837	CEFE3	CEFEPIME (AS HCL)	CEFEPIME	26.88	CEFEPIME	CEFEPIME	298	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
838	CEFE4	CEFEPIME (AS HCL)	NULL	9.50		CEFEPIME (AS HCL)	299	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
839	CEFE5	CEFEPIME (AS HCL)	NULL	14.1091	CEFEPIME	CEFEPIME (AS HCL)	299	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
840	CEFE6	CEFEPIME (AS HCL)	NULL	26.88	CEFEPIME	CEFEPIME (AS HCL)	299	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
841	CEFO2	CEFOTAXIME	NULL	0.00		CEFOTAXIME	300	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
842	CEFO3	CEFOXITIN	NULL	23.19		CEFOXITIN	302	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
843	CEFO4	CEFOXITIN	NULL	11.79		CEFOXITIN	302	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
844	CEFO5	CEFOXITIN	NULL	67.54		CEFOXITIN	302	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
845	CEFP1	CEFPODOXIME	NULL	24.13		CEFPODOXIME	304	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
846	CEFP2	CEFPIROME	NULL	16.65		CEFPIROME	303	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
847	CEFP3	CEFPIROME	NULL	22.93		CEFPIROME	303	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
848	CEFP4	CEFPIROME	NULL	45.85		CEFPIROME	303	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
849	CEFP5	CEFPODOXIME	NULL	24.13		CEFPODOXIME	304	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
850	CEFT1	CEFTAZIDIME	NULL	19.42		CEFTAZIDIME	305	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
851	CEFT11	CEFTRIAXONE	NULL	0.00		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
852	CEFT2	CEFTAZIDIME	NULL	38.84		CEFTAZIDIME	305	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
853	CEFT3	CEFTRIAXONE NEO-TOP	NULL	295.00		CEFTRIAXONE NEO-TOP	307	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
854	CEFT31	CEFTRIAXONE	NULL	37.57		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
855	CEFT5	CEFTRIAXONE	NULL	0.00		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
856	CEFT7	CEFTRIAXONE	NULL	0.00		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
857	CEFT9	CEFTRIAXONE	NULL	0.00		CEFTRIAXONE	306	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
858	CEFU1	CEFUROXIME AXETIL	NULL	10.6087	CEFUROXIME AXETIL	CEFUROXIME AXETIL	308	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
4993	CEFU2	CEFUROXIME AXETIL	NULL	NULL	CEFUROXIME AXETIL	CEFUROXIME AXETIL	308	NULL	NULL	5695167	2012-08-01 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
859	CEFZ1	CEPHAZOLIN	NULL	45.9182	CEPHAZOLIN	CEPHAZOLIN	312	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
